"","Districte","Secció","Renda_neta_mitja_PERSONA","Renda_neta_mitja_HABITATGE","Censo","Votants","Vots","Participació","ARA PL","% ARA PL","Vots Junts","% Junts","Vots Cs","% Cs","Vots CUP","% CUP","Vots ERC","% ERC","Vots PACMA","% PACMA","Vots PCTC","% PCTC","Vots PFIV","% PFIV","Vots PP","% PP","Vots PSC","% PSC","Vots Comuns","% Comuns","Vots TxT","% TxT","Vots Valents","% Valents","Vots VOX","% VOX","Renda_persona"
"118",6,10,14.005,36.481,1606,797,787,"49.63%",3,"0.38%",14,"1.78%",19,"2.41%",12,"1.52%",55,"6.99%",7,"0.89%",1,"0.13%",2,"0.25%",68,"8.64%",237,"30.11%",47,"5.97%",241,"30.62%",3,"0.38%",78,"9.91%",14005
"119",6,11,11.422,29.883,1191,520,519,"43.66%",1,"0.19%",4,"0.77%",19,"3.66%",4,"0.77%",23,"4.43%",9,"1.73%",2,"0.39%",3,"0.58%",36,"6.94%",124,"23.89%",24,"4.62%",200,"38.54%",0,"0.00%",69,"13.29%",11422
"120",6,12,11.981,30.395,924,423,418,"45.78%",1,"0.24%",8,"1.91%",3,"0.72%",7,"1.67%",40,"9.57%",8,"1.91%",0,"0.00%",2,"0.48%",35,"8.37%",121,"28.95%",15,"3.59%",123,"29.43%",2,"0.48%",47,"11.24%",11981
"121",6,13,12.263,32.242,682,352,350,"51.61%",0,"0.00%",3,"0.86%",2,"0.57%",3,"0.86%",12,"3.43%",3,"0.86%",1,"0.29%",0,"0.00%",33,"9.43%",119,"34.00%",22,"6.29%",105,"30.00%",1,"0.29%",45,"12.86%",12263
"122",6,14,10.713,30.839,720,277,275,"38.47%",0,"0.00%",8,"2.91%",2,"0.73%",12,"4.36%",11,"4.00%",7,"2.55%",0,"0.00%",0,"0.00%",27,"9.82%",63,"22.91%",13,"4.73%",82,"29.82%",0,"0.00%",47,"17.09%",10713
"123",6,16,11.95,32.135,1133,487,482,"42.98%",0,"0.00%",26,"5.39%",5,"1.04%",21,"4.36%",23,"4.77%",11,"2.28%",3,"0.62%",1,"0.21%",37,"7.68%",122,"25.31%",23,"4.77%",153,"31.74%",0,"0.00%",51,"10.58%",11950
"124",6,18,10.55,27.015,882,404,403,"45.80%",0,"0.00%",4,"0.99%",4,"0.99%",3,"0.74%",11,"2.73%",8,"1.99%",2,"0.50%",2,"0.50%",23,"5.71%",141,"34.99%",16,"3.97%",104,"25.81%",3,"0.74%",78,"19.35%",10550
"125",6,20,9.411,24.616,1070,437,436,"40.84%",0,"0.00%",6,"1.38%",2,"0.46%",4,"0.92%",10,"2.29%",7,"1.61%",3,"0.69%",0,"0.00%",40,"9.17%",135,"30.96%",17,"3.90%",109,"25.00%",2,"0.46%",93,"21.33%",9411
"126",6,23,12.849,35.779,1028,460,454,"44.75%",0,"0.00%",5,"1.10%",4,"0.88%",3,"0.66%",24,"5.29%",9,"1.98%",2,"0.44%",0,"0.00%",40,"8.81%",122,"26.87%",9,"1.98%",158,"34.80%",3,"0.66%",71,"15.64%",12849
"127",6,24,12.7,35.576,1786,917,915,"51.34%",2,"0.22%",9,"0.98%",14,"1.53%",13,"1.42%",44,"4.81%",23,"2.51%",2,"0.22%",4,"0.44%",67,"7.32%",224,"24.48%",57,"6.23%",295,"32.24%",8,"0.87%",143,"15.63%",12700
